team,team_id
East Tennessee State University,2193
Furman University,44
Mercer University,44
Samford University,44
University of North Carolina at Greensboro,2448
Virginia Military Institute,277
Western Carolina University,2717
Wofford College,2747
East Texas A&M University,2837
Houston Christian University,2277
University of the Incarnate Word,2916
Lamar University,44
McNeese State University,2634
University of New Orleans,104
Nicholls State University,166
Northwestern State University,2466
Southeastern Louisiana University,111
Stephen F. Austin State University,2617
Texas A&M University-Corpus Christi,357
University of Texas Rio Grande Valley,292
Alabama Agricultural and Mechanical University,44
Alabama State University,2011
Alcorn State University,2016
University of Arkansas at Pine Bluff,2029
Bethune–Cookman University,2065
Florida Agricultural and Mechanical University,2229
Grambling State University,2755
Jackson State University,2296
Mississippi Valley State University,2400
Prairie View A&M University,2504
Southern University,2582
Texas Southern University,2640
University of Denver,104
University of Missouri–Kansas City,104
University of North Dakota,2511
North Dakota State University,2449
University of Nebraska Omaha,2511
Oral Roberts University,198
University of St. Thomas,2511
University of South Dakota,112358
South Dakota State University,2571
Appalachian State University,2026
Arkansas State University,2032
Coastal Carolina University,324
Georgia Southern University,290
Georgia State University,2247
James Madison University,256
University of Louisiana at Lafayette,2545
University of Louisiana at Monroe,2545
Marshall University,276
Old Dominion University,295
University of South Alabama,2511
University of Southern Mississippi,104
Texas State University,2634
Troy University,104
Gonzaga University,112358
Loyola Marymount University,2351
Oregon State University,204
University of the Pacific,104
Pepperdine University,2492
University of Portland,2511
Saint Mary's College of California,2608
University of San Diego,2511
University of San Francisco,2539
Santa Clara University,2541
Seattle University,2511
Washington State University,265
Abilene Christian University,2000
California Baptist University,2856
Southern Utah University,253
Tarleton State University,2627
Utah Tech University,3101
Utah Valley University,3084
University of Texas at Arlington,2837
