season,team,source_name,rank,adjoe,adjde,adj_em,barthag,sos_adj,luck,wab
2020,Coppin State Eagles,Coppin St.,337,88.9149,105.2878,-16.3729,0.125242,0.330639,0.034992,-15.4575
2020,Binghamton Bearcats,Binghamton,338,98.9069,117.1239,-18.217,0.125196,0.350294,0.061498,-14.9454
2020,Southeast Missouri St.,Southeast Missouri St.,339,95.2648,112.9318,-17.667,0.123854,0.360614,-0.071296,-19.2659
2020,South Carolina State Bulldogs,South Carolina St.,340,95.9704,114.7286,-18.7582,0.113741,0.275035,-0.011715,-14.4524
2020,Alabama St.,Alabama St.,341,86.0812,103.3208,-17.2396,0.109165,0.393378,-0.041612,-17.2346
2020,Incarnate Word Cardinals,Incarnate Word,342,92.557,111.6662,-19.1092,0.103546,0.335828,-0.012923,-17.8286
2020,High Point Panthers,High Point,343,94.0347,113.6941,-19.6595,0.101264,0.362429,0.02145,-18.1948
2020,Holy Cross Crusaders,Holy Cross,344,95.5616,116.969,-21.4074,0.089108,0.39706,-0.08674,-24.1519
2020,Central Connecticut,Central Connecticut,345,90.7636,113.3157,-22.5521,0.072288,0.380192,-0.052198,-21.8886
2020,Alabama A&M,Alabama A&M,346,86.7491,108.6042,-21.8551,0.07018,0.32432,0.03525,-17.6336
2020,Delaware State Hornets,Delaware St.,347,93.8925,117.6326,-23.7401,0.069637,0.251941,-0.109583,-23.0021
2020,Howard Bison,Howard,348,94.3634,120.9633,-26.5999,0.05438,0.301678,-0.117318,-25.1814
2020,Arkansas Pine Bluff,Arkansas Pine Bluff,349,80.139,104.2757,-24.1367,0.046191,0.381853,-0.049582,-20.0085
2020,Maryland Eastern Shore,Maryland Eastern Shore,350,82.0942,107.9604,-25.8662,0.041099,0.357943,-0.016391,-20.8841
2020,Mississippi Valley St.,Mississippi Valley St.,351,89.2282,119.013,-29.7848,0.035148,0.344066,-0.022958,-22.2355
2020,Kennesaw State Owls,Kennesaw St.,352,82.167,112.2533,-30.0863,0.026908,0.458736,-0.015353,-21.8467
2020,Chicago St.,Chicago St.,353,85.6074,120.4718,-34.8644,0.019286,0.380976,-0.002774,-20.0582
