season,team,team_id,seed
2022,Texas Southern Tigers,2640,16
2022,Texas A&M-Corpus Christi Islanders,357,16
2022,Wyoming Cowboys,2751,12
2022,Indiana Hoosiers,84,12
2022,Wright State Raiders,2750,16
2022,Bryant Bulldogs,2803,16
2022,Rutgers Scarlet Knights,164,11
2022,Notre Dame Fighting Irish,87,11
2022,Colorado State Rams,36,6
2022,Michigan Wolverines,130,11
2022,Providence Friars,2507,4
2022,South Dakota State Jackrabbits,2571,13
2022,Boise State Broncos,68,8
2022,Memphis Tigers,235,9
2022,Baylor Bears,239,1
2022,Norfolk State Spartans,2450,16
2022,Tennessee Volunteers,2633,3
2022,Longwood Lancers,2344,14
2022,Iowa Hawkeyes,2294,5
2022,Richmond Spiders,257,12
2022,Gonzaga Bulldogs,2250,1
2022,Georgia State Panthers,2247,16
2022,North Carolina Tar Heels,153,8
2022,Marquette Golden Eagles,269,9
2022,UConn Huskies,41,5
2022,New Mexico State Aggies,166,12
2022,Kentucky Wildcats,96,2
2022,Saint Peter's Peacocks,2612,15
2022,Saint Mary's Gaels,2608,5
2022,San Diego State Aztecs,21,8
2022,Creighton Bluejays,156,9
2022,Arkansas Razorbacks,8,4
2022,Vermont Catamounts,261,13
2022,UCLA Bruins,26,4
2022,Akron Zips,2006,13
2022,Murray State Racers,93,7
2022,San Francisco Dons,2539,10
2022,Kansas Jayhawks,2305,1
2022,Ohio State Buckeyes,194,7
2022,Loyola Chicago Ramblers,2350,10
2022,Auburn Tigers,2,2
2022,Jacksonville State Gamecocks,55,15
2022,Texas Tech Red Raiders,2641,3
2022,Montana State Bobcats,147,14
2022,Purdue Boilermakers,2509,3
2022,Yale Bulldogs,43,14
2022,Villanova Wildcats,222,2
2022,Delaware Blue Hens,48,15
2022,USC Trojans,30,7
2022,Miami Hurricanes,2390,10
2022,Alabama Crimson Tide,333,6
2022,Texas Longhorns,251,6
2022,Virginia Tech Hokies,259,11
2022,Illinois Fighting Illini,356,4
2022,Chattanooga Mocs,236,13
2022,Duke Blue Devils,150,2
2022,Cal State Fullerton Titans,2239,15
2022,Arizona Wildcats,12,1
2022,LSU Tigers,99,6
2022,Iowa State Cyclones,66,11
2022,Michigan State Spartans,127,7
2022,Davidson Wildcats,2166,10
2022,Houston Cougars,248,5
2022,UAB Blazers,5,12
2022,Seton Hall Pirates,2550,8
2022,TCU Horned Frogs,2628,9
2022,Wisconsin Badgers,275,3
2022,Colgate Raiders,2142,14
