season,team,source_name,rank,adjoe,adjde,adj_em,barthag,sos_adj,luck,wab,adj_t
2016,Villanova Wildcats,Villanova,1,123.9746,91.9612,32.0134,0.968786,0.720913,0.036092,8.9542,65.7571
2016,Kansas Jayhawks,Kansas,2,121.6003,91.3871,30.2133,0.963904,0.751245,0.055348,11.4462,69.2415
2016,Virginia Cavaliers,Virginia,3,120.7791,92.1377,28.6414,0.957418,0.752409,-0.006387,8.6508,60.9455
2016,North Carolina Tar Heels,North Carolina,4,124.2641,96.0743,28.1898,0.950678,0.737002,0.040643,8.5326,70.7776
2016,Kentucky Wildcats,Kentucky,5,123.8676,96.2902,27.5773,0.94766,0.701732,-0.063446,5.0225,67.3432
2016,Michigan State Spartans,Michigan St.,6,123.3966,97.0673,26.3293,0.940475,0.643904,0.014781,7.3516,66.7116
2016,West Virginia Mountaineers,West Virginia,7,115.6675,91.5903,24.0773,0.936078,0.72357,0.013686,7.3157,69.9966
2016,Oklahoma Sooners,Oklahoma,8,119.0936,94.4961,24.5976,0.934658,0.752617,0.081584,7.875,69.9282
2016,Purdue Boilermakers,Purdue,9,118.1259,94.3579,23.768,0.929795,0.658637,-0.043607,4.4503,67.9786
2016,Wichita State Shockers,Wichita St.,10,111.0708,88.9683,22.1025,0.927688,0.592713,-0.096419,0.2825,65.8614
2016,Louisville Cardinals,Louisville,11,112.3625,90.6886,21.6738,0.92161,0.647902,0.015841,4.2971,66.2606
2016,Gonzaga Bulldogs,Gonzaga,12,118.3728,95.5961,22.7767,0.921118,0.596696,-0.0385,2.2008,67.316
2016,Xavier Musketeers,Xavier,13,117.8135,95.3465,22.4671,0.919327,0.695293,0.079567,7.7282,71.5139
2016,Miami Hurricanes,Miami FL,14,120.3236,97.6948,22.6289,0.916512,0.743633,0.076749,6.868,66.1494
2016,Indiana Hoosiers,Indiana,15,122.1113,99.467,22.6443,0.913626,0.634967,0.004759,3.3002,68.6065
2016,Oregon Ducks,Oregon,16,119.1126,97.1191,21.9935,0.912736,0.707831,0.075108,6.7145,68.0971
2016,Vanderbilt Commodores,Vanderbilt,17,115.2433,94.2856,20.9578,0.909558,0.692074,-0.133989,-0.3766,67.7468
2016,Texas A&M Aggies,Texas A&M,18,113.9371,93.33,20.6071,0.908405,0.704069,0.025473,5.1452,67.4833
2016,Duke Blue Devils,Duke,19,121.9238,99.9713,21.9525,0.907451,0.742346,0.006832,4.2112,67.7992
2016,Iowa State Cyclones,Iowa St.,20,122.0841,100.1674,21.9168,0.906826,0.73234,-0.001928,3.5223,71.4531
2016,Arizona Wildcats,Arizona,21,116.8116,96.7923,20.0193,0.89678,0.658472,0.002235,3.4738,68.1662
2016,California Golden Bears,California,22,113.2207,93.8502,19.3705,0.8964,0.676537,-0.043861,2.2941,67.9488
2016,Seton Hall Pirates,Seton Hall,23,111.5315,92.5208,19.0107,0.89558,0.68058,0.05822,5.2993,69.5318
2016,SMU Mustangs,SMU,24,118.1644,98.0372,20.1272,0.895425,0.587012,0.041833,3.7238,65.6955
2016,Iowa Hawkeyes,Iowa,25,115.594,96.7808,18.8132,0.885219,0.671842,-0.003917,2.0133,68.9406
2016,Butler Bulldogs,Butler,26,119.0728,99.7658,19.307,0.884368,0.662466,0.003095,2.0752,68.2818
2016,Saint Mary's,Saint Mary's,27,118.6458,99.6448,19.001,0.881541,0.520881,0.014591,2.0608,61.6279
2016,Maryland Terrapins,Maryland,28,115.9827,97.5309,18.4518,0.880021,0.670607,0.070122,4.0161,67.05
2016,Syracuse Orange,Syracuse,29,112.5189,94.7272,17.7917,0.878615,0.70387,-0.015295,-0.2954,64.641
2016,VCU Rams,VCU,30,112.9099,95.16,17.7499,0.877272,0.612288,-0.052824,0.029,69.3969
2016,Utah Utes,Utah,31,116.5087,98.3603,18.1484,0.87515,0.704981,0.098597,5.6747,66.0114
2016,Baylor Bears,Baylor,32,118.8864,100.51,18.3764,0.873358,0.713343,0.03486,3.4805,66.4901
2016,UConn Huskies,Connecticut,33,111.4378,94.6446,16.7933,0.867426,0.632299,-0.003234,1.2329,65.9497
2016,Florida Gators,Florida,34,110.7672,94.3264,16.4409,0.863858,0.724909,-0.028383,0.1184,68.9851
2016,Pittsburgh Panthers,Pittsburgh,35,114.8939,97.8984,16.9955,0.863056,0.6857,0.000718,1.7718,65.401
2016,Cincinnati Bearcats,Cincinnati,36,110.9543,94.6214,16.3328,0.861904,0.605109,-0.03913,0.361,65.119
2016,Saint Joseph's Hawks,Saint Joseph's,37,115.1423,98.6908,16.4515,0.854835,0.631593,0.07583,3.5638,70.0243
2016,Creighton Bluejays,Creighton,38,113.6868,97.4457,16.2412,0.8548,0.637113,-0.080324,-1.8538,70.3969
2016,Texas Longhorns,Texas,39,112.818,97.0552,15.7628,0.849503,0.754832,0.052386,3.0736,65.4134
2016,Valparaiso Beacons,Valparaiso,40,107.4758,92.7561,14.7197,0.844731,0.520824,0.027064,0.6082,66.5689
2016,Wisconsin Badgers,Wisconsin,41,109.5165,94.5399,14.9765,0.844369,0.695161,0.019648,0.4873,63.1604
2016,George Washington Revolutionaries,George Washington,42,115.8605,100.0549,15.8055,0.843786,0.606255,0.023439,-0.6546,66.3242
2016,Georgia Tech Yellow Jackets,Georgia Tech,43,114.7262,99.4122,15.314,0.838573,0.716399,0.006149,-0.0129,66.9383
2016,San Diego State Aztecs,San Diego St.,44,105.0189,91.3013,13.7176,0.833373,0.608461,0.011958,0.2063,64.9552
2016,Kansas State Wildcats,Kansas St.,45,109.3333,95.053,14.2803,0.833358,0.702631,-0.045006,-1.4439,66.7438
2016,USC,USC,46,114.5326,99.768,14.7646,0.830213,0.674491,-0.005683,0.2265,71.1729
2016,Providence Friars,Providence,47,110.307,96.2791,14.0279,0.826953,0.676103,0.110064,3.3481,68.3973
2016,Stephen F. Austin,Stephen F. Austin,48,111.0103,97.0041,14.0062,0.825058,0.365379,-0.023138,-1.0643,67.3351
2016,BYU Cougars,BYU,49,113.0089,99.1001,13.9087,0.819114,0.562318,-0.015626,-1.3777,73.5116
2016,Yale Bulldogs,Yale,50,109.9847,96.4678,13.5169,0.818768,0.491398,0.024185,0.0969,65.8459
2016,Notre Dame Fighting Irish,Notre Dame,51,118.9788,104.4364,14.5425,0.817459,0.707295,0.118073,2.3221,64.6008
2016,Michigan Wolverines,Michigan,52,114.2278,100.3242,13.9036,0.816462,0.655333,0.039305,0.8808,65.4309
2016,Clemson Tigers,Clemson,53,112.7828,99.1012,13.6816,0.815659,0.643201,-0.059655,-2.4384,63.5571
2016,Texas Tech,Texas Tech,54,113.6854,100.0271,13.6583,0.81335,0.725143,0.050064,1.2529,66.3418
2016,Dayton Flyers,Dayton,55,106.3156,93.6319,12.6837,0.811681,0.622409,0.089274,2.5551,67.5725
2016,Northern Iowa,Northern Iowa,56,110.67,97.6282,13.0418,0.808755,0.60145,-0.024052,-1.9799,62.8071
2016,South Carolina Gamecocks,South Carolina,57,108.9077,96.3188,12.5889,0.804181,0.62871,0.072639,1.8484,70.3436
2016,Colorado Buffaloes,Colorado,58,108.6202,96.1815,12.4387,0.801968,0.662338,0.0451,0.7277,69.0143
2016,Florida State Seminoles,Florida St.,59,112.9988,100.2015,12.7973,0.799349,0.688161,0.038958,0.1521,71.7902
2016,Hawaii Rainbow Warriors,Hawaii,60,107.7845,95.9503,11.8342,0.792078,0.492712,0.073785,0.9529,70.5247
2016,Georgetown Hoyas,Georgetown,61,111.7017,99.636,12.0658,0.788274,0.684095,-0.079079,-4.1608,67.9693
2016,Princeton,Princeton,62,113.0471,100.8626,12.1845,0.787768,0.468762,0.019582,0.0738,68.6404
2016,Washington Huskies,Washington,63,110.9385,99.2384,11.7,0.782735,0.675079,-0.012196,-2.2059,77.3081
2016,Oregon St.,Oregon St.,64,110.8785,99.1916,11.6869,0.782601,0.717325,0.057512,0.3238,67.0766
2016,Georgia Bulldogs,Georgia,65,109.0042,97.5667,11.4375,0.78156,0.697694,0.030894,-0.8273,66.9923
2016,Little Rock,Little Rock,66,108.6494,97.2744,11.375,0.781049,0.484574,0.125785,2.2034,62.9278
2016,Virginia Tech Hokies,Virginia Tech,67,110.2589,98.8331,11.4259,0.778698,0.666935,0.044815,-0.494,69.6432
2016,UCLA Bruins,UCLA,68,112.3965,100.9427,11.4538,0.77487,0.711631,-0.054,-3.838,69.4688
2016,Houston Cougars,Houston,69,117.0789,105.5362,11.5428,0.767391,0.538358,0.015526,-1.1377,66.3873
2016,LSU Tigers,LSU,70,112.5398,101.5125,11.0273,0.766014,0.661507,0.01812,-1.7897,72.0108
2016,Northwestern Wildcats,Northwestern,71,110.8865,100.216,10.6705,0.761979,0.561902,0.003275,-1.8996,63.575
2016,Marquette Golden Eagles,Marquette,72,109.6686,99.6433,10.0253,0.750722,0.613446,0.045596,-0.964,70.3915
2016,Arkansas Razorbacks,Arkansas,73,110.2759,100.213,10.063,0.750338,0.662089,-0.051336,-4.6092,70.0844
2016,Ole Miss Rebels,Mississippi,74,111.822,101.7264,10.0956,0.748033,0.618253,0.043854,-1.4017,68.5219
2016,NC State Wolfpack,N.C. State,75,114.2433,104.0871,10.1563,0.744727,0.69049,-0.027943,0.0,67.6209
2016,Memphis Tigers,Memphis,76,106.7569,97.2669,9.49,0.74471,0.55556,-0.079277,-5.5076,73.4728
2016,Evansville,Evansville,77,107.1753,97.7537,9.4215,0.742339,0.489303,0.038384,-1.3445,68.6496
2016,Tulsa Golden Hurricane,Tulsa,78,110.378,100.7304,9.6476,0.741126,0.627406,0.050159,-1.0717,68.4557
2016,Rhode Island,Rhode Island,79,108.6124,99.241,9.3714,0.738405,0.586822,-0.08413,-5.7573,64.7583
2016,South Dakota St.,South Dakota St.,80,111.5094,101.9915,9.5179,0.736144,0.497154,0.048872,-1.0224,68.2782
2016,Mississippi State Bulldogs,Mississippi St.,81,109.4819,100.1525,9.3294,0.735799,0.633489,-0.103364,-6.2289,69.32
2016,UC Irvine Anteaters,UC Irvine,82,106.5248,97.6536,8.8712,0.731047,0.545278,0.087556,-0.6617,67.1927
2016,Ohio State Buckeyes,Ohio St.,83,106.4771,97.7111,8.766,0.728696,0.625098,0.052335,-1.0334,67.6495
2016,Alabama Crimson Tide,Alabama,84,106.1096,97.4139,8.6957,0.727761,0.699442,0.078617,-0.6335,64.8083
2016,Temple,Temple,85,107.1738,98.5507,8.6231,0.724047,0.625278,0.095579,-0.0437,65.6214
2016,Akron Zips,Akron,86,109.8289,101.1728,8.6561,0.719923,0.484445,0.049728,-1.2035,67.3743
2016,UC Santa Barbara Gauchos,UC Santa Barbara,87,107.3173,98.883,8.4343,0.719363,0.575773,-0.041112,-4.6522,66.7266
2016,Boise State Broncos,Boise St.,88,109.0747,100.6615,8.4132,0.715674,0.574826,-0.001416,-3.5326,69.3677
2016,William & Mary Tribe,William & Mary,89,113.3414,104.6143,8.7271,0.715333,0.548784,-0.012023,-3.6379,68.3057
2016,Oklahoma State Cowboys,Oklahoma St.,90,106.3042,98.1393,8.1649,0.714848,0.685293,-0.099257,-6.8448,64.1603
2016,St. Bonaventure,St. Bonaventure,91,114.1088,105.374,8.7348,0.714189,0.562554,0.0874,0.0195,67.9981
2016,UNC Wilmington,UNC Wilmington,92,110.3708,101.938,8.4328,0.713824,0.522234,0.085155,-0.6013,70.4376
2016,Cal St. Bakersfield,Cal St. Bakersfield,93,104.6112,96.6297,7.9815,0.71355,0.387965,-0.038305,-3.3868,67.5021
2016,Richmond,Richmond,94,113.5257,105.0191,8.5066,0.710066,0.625067,-0.042912,-5.3998,68.2933
2016,Old Dominion,Old Dominion,95,106.5528,98.7168,7.836,0.706497,0.45025,-0.043693,-6.3051,61.2438
2016,Nebraska Cornhuskers,Nebraska,96,109.7324,101.6681,8.0643,0.706368,0.604772,-0.055534,-5.4626,67.27
2016,Tennessee Volunteers,Tennessee,97,111.3356,103.1883,8.1473,0.705563,0.682479,-0.039487,-5.8295,69.0705
2016,Arizona State Sun Devils,Arizona St.,98,109.0454,101.0855,7.96,0.705095,0.711122,0.010136,-4.1194,68.0058
2016,Long Beach State Beach,Long Beach St.,99,108.9353,101.0172,7.9181,0.704293,0.639228,0.031082,-2.9388,69.9762
2016,Monmouth Hawks,Monmouth,100,106.6411,98.9311,7.71,0.703292,0.462619,0.093939,-0.0455,72.743
2016,Oakland Golden Grizzlies,Oakland,101,115.5122,107.1675,8.3447,0.703143,0.483812,0.004426,-3.2847,73.5784
2016,Wake Forest Demon Deacons,Wake Forest,102,107.6803,100.4943,7.186,0.688745,0.733147,-0.053711,-6.2203,71.4808
2016,James Madison Dukes,James Madison,103,106.8133,99.756,7.0573,0.68699,0.516837,-0.002583,-4.2052,66.7629
2016,UT Arlington,UT Arlington,104,106.624,99.6729,6.951,0.684658,0.443357,-0.008544,-3.7001,72.2679
2016,Iona Gaels,Iona,105,110.1644,103.0356,7.1288,0.683379,0.468397,0.011309,-3.3484,71.7067
2016,Hofstra Pride,Hofstra,106,111.0941,103.9538,7.1403,0.682212,0.541451,0.093841,-1.4562,69.4619
2016,New Mexico Lobos,New Mexico,107,108.9953,102.2179,6.7774,0.67662,0.559838,-0.062088,-6.699,70.9413
2016,Stanford Cardinal,Stanford,108,107.6509,100.9889,6.662,0.675825,0.728247,0.071241,-2.5934,65.8298
2016,Davidson Wildcats,Davidson,109,113.8525,106.9884,6.8641,0.671529,0.630329,0.081851,-1.9695,70.4109
2016,Fresno St.,Fresno St.,110,107.2385,101.141,6.0974,0.662219,0.558049,0.123283,-0.7155,68.9141
2016,Columbia,Columbia,111,112.8999,106.8853,6.0146,0.652392,0.442326,0.024612,-4.1089,65.0162
2016,New Mexico State Aggies,New Mexico St.,112,102.1373,96.7651,5.3722,0.650529,0.432408,-0.005777,-3.979,65.539
2016,Stony Brook Seawolves,Stony Brook,113,105.7155,100.3059,5.4095,0.646583,0.408417,0.092986,-0.9605,66.8597
2016,UNLV Rebels,UNLV,114,104.0134,99.011,5.0024,0.63803,0.571883,-0.025605,-6.1898,72.7131
2016,Illinois State Redbirds,Illinois St.,115,103.9542,99.0219,4.9323,0.636222,0.548441,-0.010821,-5.3666,67.3857
2016,Chattanooga,Chattanooga,116,106.5754,101.7696,4.8058,0.629628,0.422504,0.155462,0.5523,66.3669
2016,Louisiana Monroe,Louisiana Monroe,117,107.6936,102.9738,4.7197,0.626065,0.49023,-0.033241,-6.1127,65.6877
2016,Middle Tennessee,Middle Tennessee,118,104.8279,100.3265,4.5014,0.623572,0.498268,0.103632,-2.9875,67.5524
2016,Milwaukee Panthers,Milwaukee,119,111.994,107.2977,4.6963,0.620728,0.465102,-0.040287,-6.6252,66.2332
2016,Toledo,Toledo,120,108.844,104.4452,4.3988,0.616427,0.45934,-0.118166,-9.6417,69.0937
2016,UAB Blazers,UAB,121,109.1592,104.7493,4.4099,0.616386,0.432868,0.132881,-0.8684,68.0728
2016,Utah State Aggies,Utah St.,122,111.1998,107.0719,4.1279,0.607073,0.558518,-0.045722,-7.3072,66.7727
2016,Belmont Bruins,Belmont,123,114.5116,110.2924,4.2192,0.606285,0.474076,0.019917,-4.7205,71.798
2016,Northeastern,Northeastern,124,107.1787,103.2367,3.942,0.606099,0.554603,0.001108,-6.8645,65.2862
2016,Ohio Bobcats,Ohio,125,111.6274,107.5345,4.0929,0.605774,0.472368,0.019558,-5.1927,69.8255
2016,Louisiana,Louisiana,126,109.8159,106.1616,3.6544,0.596091,0.48501,-0.049218,0.0,70.3605
