season,team,source_name,rank,adjoe,adjde,adj_em,barthag,sos_adj,luck,wab
2021,Gonzaga Bulldogs,Gonzaga,1,125.9118,90.9397,34.9721,0.976841,0.662674,0.066796,8.5006
2021,Baylor Bears,Baylor,2,124.8849,92.9192,31.9656,0.967708,0.684901,0.091744,6.6911
2021,Houston Cougars,Houston,3,119.1274,91.2658,27.8616,0.955375,0.620475,-0.008607,4.0483
2021,Illinois Fighting Illini,Illinois,4,116.9163,90.6492,26.2671,0.949131,0.79252,0.034243,8.8138
2021,Michigan Wolverines,Michigan,5,116.5584,90.6013,25.9571,0.947704,0.780187,0.05588,7.0635
2021,Iowa Hawkeyes,Iowa,6,123.4279,97.1894,26.2385,0.939826,0.742098,-0.018285,5.4883
2021,USC,USC,7,114.3052,90.5091,23.7961,0.936096,0.771952,0.017641,5.5418
2021,Colorado Buffaloes,Colorado,8,115.6895,92.496,23.1935,0.929107,0.752454,-0.015027,4.8653
2021,Alabama Crimson Tide,Alabama,9,111.9473,89.6721,22.2752,0.927674,0.772394,0.04406,6.8823
2021,Florida State Seminoles,Florida St.,10,115.2097,93.0454,22.1643,0.921083,0.733814,-0.023352,2.3852
2021,Ohio State Buckeyes,Ohio St.,11,120.4093,97.319,23.0903,0.920443,0.785309,0.015186,5.9973
2021,Wisconsin Badgers,Wisconsin,12,112.5119,91.3479,21.164,0.916554,0.779646,-0.062835,2.0607
2021,Loyola Chicago Ramblers,Loyola Chicago,13,109.6635,89.1958,20.4677,0.914955,0.524197,-0.003233,1.8471
2021,Villanova Wildcats,Villanova,14,118.462,96.8015,21.6605,0.910698,0.757977,0.013361,3.0647
2021,UConn Huskies,Connecticut,15,114.0894,93.5043,20.5851,0.907896,0.738299,-0.051697,2.036
2021,Texas Tech,Texas Tech,16,111.9484,91.8984,20.05,0.906326,0.674594,-0.063592,0.9266
2021,San Diego State Aztecs,San Diego St.,17,111.2463,91.5095,19.7368,0.904305,0.594694,0.005759,3.0765
2021,UCLA Bruins,UCLA,18,115.9483,95.5722,20.376,0.902253,0.78578,0.057062,2.6389
2021,Texas Longhorns,Texas,19,112.6733,93.1138,19.5595,0.899593,0.73488,0.026556,4.158
2021,West Virginia Mountaineers,West Virginia,20,116.1486,96.4833,19.6653,0.894094,0.760369,0.002919,3.0201
