season,team,source_name,rank,adjoe,adjde,adj_em,barthag,sos_adj,luck,wab,adj_t
2019,Gonzaga Bulldogs,Gonzaga,1,124.3618,91.0071,33.3547,0.973168,0.604143,-0.008642,7.1503,70.349
2019,Virginia Cavaliers,Virginia,2,123.7705,91.0975,32.673,0.971383,0.71039,0.090079,11.0925,59.2465
2019,Texas Tech,Texas Tech,3,115.9347,86.4197,29.5151,0.967037,0.708428,-0.006612,7.0093,65.8887
2019,Michigan Wolverines,Michigan,4,115.322,86.7684,28.5537,0.963441,0.721398,-0.011076,9.1828,64.4157
2019,Duke Blue Devils,Duke,5,119.6375,90.3783,29.2593,0.961776,0.739932,0.07321,11.2139,72.1743
2019,Michigan State Spartans,Michigan St.,6,120.6079,92.2595,28.3485,0.956115,0.767836,0.060558,10.6398,67.1038
2019,North Carolina Tar Heels,North Carolina,7,120.8197,92.6179,28.2019,0.95508,0.737933,0.038317,9.9794,74.5273
2019,Kentucky Wildcats,Kentucky,8,118.2558,90.9655,27.2903,0.953347,0.722518,0.034697,8.7638,65.2929
2019,Purdue Boilermakers,Purdue,9,123.4906,95.5733,27.9173,0.950127,0.763345,-0.030138,6.1048,65.5378
2019,Tennessee Volunteers,Tennessee,10,123.5224,96.502,27.0204,0.944741,0.701219,0.077472,9.8262,67.251
2019,Houston Cougars,Houston,11,116.5908,91.6222,24.9686,0.941114,0.624476,0.050126,7.9327,65.7298
2019,Auburn Tigers,Auburn,12,122.0207,96.4109,25.6098,0.93756,0.736528,0.016314,6.1216,67.7556
2019,Virginia Tech Hokies,Virginia Tech,13,118.6288,94.538,24.0908,0.931532,0.660995,-0.001411,5.0068,63.6757
2019,Kansas State Wildcats,Kansas St.,14,108.777,88.9733,19.8037,0.90979,0.717921,0.039014,6.5572,63.3666
2019,Florida State Seminoles,Florida St.,15,112.5016,92.0503,20.4514,0.909478,0.708792,0.099761,7.6694,68.5348
2019,Iowa State Cyclones,Iowa St.,16,119.1266,97.8065,21.3202,0.906171,0.720959,-0.021549,4.2909,67.5084
2019,Kansas Jayhawks,Kansas,17,113.733,93.6758,20.0572,0.903013,0.792943,0.102411,8.3317,69.8946
2019,LSU Tigers,LSU,18,118.6909,97.8534,20.8375,0.90204,0.716981,0.113601,7.3403,69.6385
2019,Wisconsin Badgers,Wisconsin,19,108.9645,89.8394,19.1251,0.901986,0.74952,0.043054,6.232,63.4149
2019,Louisville Cardinals,Louisville,20,113.7056,94.2657,19.4399,0.896246,0.722193,-0.050385,2.3126,67.1044
2019,UCF Knights,UCF,21,113.5896,94.3899,19.1997,0.89372,0.640743,-0.013015,2.1693,64.8682
2019,Texas Longhorns,Texas,22,114.1392,94.9418,19.1975,0.89262,0.757227,-0.073716,-0.5305,64.5612
2019,Mississippi State Bulldogs,Mississippi St.,23,117.6854,97.9824,19.703,0.891592,0.726156,0.011992,4.5517,67.4455
2019,Florida Gators,Florida,24,111.134,92.853,18.281,0.887631,0.745437,-0.062963,0.6424,62.6869
2019,Wofford Terriers,Wofford,25,117.3089,98.1543,19.1546,0.885958,0.492413,0.063198,4.1811,65.542
2019,Cincinnati Bearcats,Cincinnati,26,113.1502,94.9749,18.1753,0.882227,0.640204,0.077679,5.9092,63.5164
2019,VCU Rams,VCU,27,105.5726,88.6878,16.8847,0.881234,0.568097,-0.034053,1.3626,68.3419
2019,Maryland Terrapins,Maryland,28,112.397,94.5112,17.8857,0.880077,0.718691,0.049644,4.1756,66.2161
2019,Buffalo,Buffalo,29,114.5353,96.3906,18.1447,0.879049,0.564998,0.101648,5.7494,73.5044
2019,Clemson Tigers,Clemson,30,108.0162,91.4993,16.5168,0.870841,0.689037,-0.074394,0.1374,65.9288
2019,Oklahoma Sooners,Oklahoma,31,111.2523,94.3008,16.9515,0.870014,0.788718,0.014026,2.5329,68.7434
2019,Penn State Nittany Lions,Penn St.,32,110.6914,94.0256,16.6658,0.867216,0.763087,-0.151362,-2.7526,67.418
2019,Oregon Ducks,Oregon,33,108.9701,92.767,16.2032,0.864281,0.633855,-0.052757,-0.9722,63.7351
2019,Saint Mary's,Saint Mary's,34,114.1172,97.4132,16.704,0.860571,0.588128,-0.072623,-0.6047,62.4383
2019,Nevada Wolf Pack,Nevada,35,113.5209,96.9542,16.5667,0.859858,0.558099,0.068044,4.1191,69.1724
2019,Syracuse Orange,Syracuse,36,111.2805,95.3841,15.8964,0.854785,0.698946,-0.038175,0.5088,65.8516
2019,Marquette Golden Eagles,Marquette,37,112.5752,97.0421,15.5331,0.846509,0.660583,0.03517,2.8052,68.9478
2019,TCU Horned Frogs,TCU,38,110.7928,95.7292,15.0635,0.842982,0.711658,0.016026,1.1119,68.518
2019,Villanova Wildcats,Villanova,39,115.5088,100.1072,15.4016,0.83831,0.699505,0.093542,3.7294,63.5627
2019,Ole Miss Rebels,Mississippi,40,114.0342,99.0299,15.0043,0.835122,0.690805,0.00137,0.9517,68.0717
2019,Baylor Bears,Baylor,41,115.3554,100.3981,14.9573,0.831606,0.705775,0.031198,0.9471,64.9758
2019,Utah State Aggies,Utah St.,42,112.3738,97.8199,14.5539,0.83133,0.499295,0.041331,2.2459,67.9658
2019,NC State Wolfpack,N.C. State,43,113.219,98.6574,14.5616,0.82966,0.612691,0.037222,1.9111,71.3356
2019,Iowa Hawkeyes,Iowa,44,116.823,101.841,14.982,0.82897,0.706189,0.095963,3.1875,69.3511
2019,Ohio State Buckeyes,Ohio St.,45,108.5939,95.0288,13.5651,0.822664,0.734209,0.038158,0.8526,65.6362
