season,team,team_id,seed
2019,Prairie View A&M Panthers,2504,16
2019,Fairleigh Dickinson Knights,161,16
2019,Belmont Bruins,2057,11
2019,Temple Owls,218,11
2019,North Dakota State Bison,2449,16
2019,North Carolina Central Eagles,2428,16
2019,Arizona State Sun Devils,9,11
2019,St. John's Red Storm,2599,11
2019,Louisville Cardinals,97,7
2019,Minnesota Golden Gophers,135,10
2019,LSU Tigers,99,3
2019,Yale Bulldogs,43,14
2019,Auburn Tigers,2,5
2019,New Mexico State Aggies,166,12
2019,Florida State Seminoles,52,4
2019,Vermont Catamounts,261,13
2019,Michigan State Spartans,127,2
2019,Bradley Braves,71,15
2019,Maryland Terrapins,120,6
2019,Kansas Jayhawks,2305,4
2019,Northeastern Huskies,111,13
2019,Marquette Golden Eagles,269,5
2019,Murray State Racers,93,12
2019,Nevada Wolf Pack,2440,7
2019,Florida Gators,57,10
2019,Kentucky Wildcats,96,2
2019,Abilene Christian Wildcats,2000,15
2019,Gonzaga Bulldogs,2250,1
2019,Villanova Wildcats,222,6
2019,Saint Mary's Gaels,2608,11
2019,Wofford Terriers,2747,7
2019,Seton Hall Pirates,2550,10
2019,Michigan Wolverines,130,2
2019,Montana Grizzlies,149,15
2019,Syracuse Orange,183,8
2019,Baylor Bears,239,9
2019,Purdue Boilermakers,2509,3
2019,Old Dominion Monarchs,295,14
2019,Cincinnati Bearcats,2132,7
2019,Iowa Hawkeyes,2294,10
2019,Ole Miss Rebels,145,8
2019,Oklahoma Sooners,201,9
2019,Texas Tech Red Raiders,2641,3
2019,Northern Kentucky Norse,94,14
2019,Kansas State Wildcats,2306,4
2019,UC Irvine Anteaters,300,13
2019,Tennessee Volunteers,2633,2
2019,Colgate Raiders,2142,15
2019,Virginia Cavaliers,258,1
2019,Gardner-Webb Runnin' Bulldogs,2241,16
2019,Buffalo Bulls,2084,6
2019,Wisconsin Badgers,275,5
2019,Oregon Ducks,2483,12
2019,Utah State Aggies,328,8
2019,Washington Huskies,264,9
2019,Duke Blue Devils,150,1
2019,Houston Cougars,248,3
2019,Georgia State Panthers,2247,14
2019,Mississippi State Bulldogs,344,5
2019,Liberty Flames,2335,12
2019,North Carolina Tar Heels,153,1
2019,Iona Gaels,314,16
2019,VCU Rams,2670,8
2019,UCF Knights,2116,9
2019,Iowa State Cyclones,66,6
2019,Ohio State Buckeyes,194,11
2019,Virginia Tech Hokies,259,4
2019,Saint Louis Billikens,139,13
